,url,clus,pr,ha,la
0,https://cian.ru/sale/suburban/149500551,401,539780000,800,3500
1,https://cian.ru/sale/suburban/149500564,401,539780000,800,3500
2,https://cian.ru/sale/suburban/148262662,401,565180000,900,3600
3,https://cian.ru/sale/suburban/148262434,401,565180000,900,3600
4,https://cian.ru/sale/suburban/148155471,401,571530000,800,3500
5,https://cian.ru/sale/suburban/147541779,401,571530000,800,3500
6,https://cian.ru/sale/suburban/31603797,401,571530000,800,3600
7,https://cian.ru/sale/suburban/149666570,401,571530000,800,3600
8,https://cian.ru/sale/suburban/31777391,401,571530000,800,3600
9,https://cian.ru/sale/suburban/149904163,401,571530000,800,3600
10,https://cian.ru/sale/suburban/30235937,401,571530000,800,3600
11,https://cian.ru/sale/suburban/2498489,401,571530000,900,3600
12,https://cian.ru/sale/suburban/31740025,402,254010000,800,3400
13,https://cian.ru/sale/suburban/31649119,402,254010000,800,3400
14,https://cian.ru/sale/suburban/136734384,405,146250000,426,1900
15,https://cian.ru/sale/suburban/30773027,405,146250000,426,1900
16,https://cian.ru/sale/suburban/136739310,405,146250000,426,1900
17,https://cian.ru/sale/suburban/150316398,405,149230000,426,1800
18,https://cian.ru/sale/suburban/147541808,405,149230000,450,1800
19,https://cian.ru/sale/suburban/31507024,406,180000000,500,4000
20,https://cian.ru/sale/suburban/149904488,406,368320000,600,4000
21,https://cian.ru/sale/suburban/137298996,406,368320000,600,4000
22,https://cian.ru/sale/suburban/32099354,406,368320000,600,4000
23,https://cian.ru/sale/suburban/143193763,407,155580000,1300,6300
24,https://cian.ru/sale/suburban/143193694,407,155580000,1300,6300
25,https://cian.ru/sale/suburban/139008828,407,183590000,1300,6300
26,https://cian.ru/sale/suburban/2402002,407,183590000,1300,6300
27,https://cian.ru/sale/suburban/139008815,407,183590000,1300,6300
28,https://cian.ru/sale/suburban/12547193,407,187330000,1300,6300
29,https://cian.ru/sale/suburban/150316093,407,187330000,1300,6300
30,https://cian.ru/sale/suburban/148357541,408,311170000,1000,6600
31,https://cian.ru/sale/suburban/148589287,408,311170000,1000,6600
32,https://cian.ru/sale/suburban/147462467,408,311170000,598,6600
33,https://cian.ru/sale/suburban/6483118,408,311170000,600,6600
34,https://cian.ru/sale/suburban/31777561,410,1079570000,2147,20000
35,https://cian.ru/sale/suburban/149904189,410,1079570000,2147,20000
36,https://cian.ru/sale/suburban/31603929,410,1079570000,2147,20000
37,https://cian.ru/sale/suburban/5760114,410,1270080000,2147,20000
38,https://cian.ru/sale/suburban/30288563,410,1270080000,2250,20000
39,https://cian.ru/sale/suburban/147541898,410,1397090000,2500,19000
40,https://cian.ru/sale/suburban/32111559,411,222260000,600,2000
41,https://cian.ru/sale/suburban/31777626,412,158760000,560,2200
42,https://cian.ru/sale/suburban/31603981,412,158760000,560,2200
43,https://cian.ru/sale/suburban/149904205,412,158760000,560,2200
44,https://cian.ru/sale/suburban/31739893,412,311170000,560,2200
45,https://cian.ru/sale/suburban/150316925,412,311170000,560,2200
46,https://cian.ru/sale/suburban/31476286,412,311170000,560,2200
47,https://cian.ru/sale/suburban/31604157,413,174630000,500,2200
48,https://cian.ru/sale/suburban/31777851,413,174630000,500,2200
49,https://cian.ru/sale/suburban/149904250,413,174630000,500,2200
50,https://cian.ru/sale/suburban/150764094,413,180980000,500,2000
51,https://cian.ru/sale/suburban/2177135,413,180980000,500,2100
52,https://cian.ru/sale/suburban/31740163,417,317520000,750,3000
53,https://cian.ru/sale/suburban/150316571,417,317520000,750,3000
54,https://cian.ru/sale/suburban/25226946,417,317520000,750,3000
55,https://cian.ru/sale/suburban/2701907,418,635040000,840,1800
