,Unnamed: 0,clus,pr,ha,la,pr_clus25-5-5,eu_clus0.06
0,0,1.0,423900000,900,5100,1,0
1,1,1.0,423900000,870,5100,1,0
2,2,1.0,423900000,870,5200,1,0
3,3,1.0,423900000,870,5200,1,0
4,4,1.0,423900000,870,5100,1,0
5,5,1.0,423900000,900,5100,1,0
6,6,1.0,423900000,870,5100,1,0
7,7,1.0,423900000,870,5100,1,0
8,8,1.0,423900000,870,5100,1,0
9,9,999.0,163040000,489,2500,2,1
10,10,995.0,182600000,489,2500,2,1
11,11,996.0,201320000,475,2500,2,1
12,12,996.0,201320000,475,2500,2,1
13,13,996.0,201320000,475,2500,2,1
14,14,997.0,163040000,500,2500,3,1
15,15,997.0,163040000,500,2500,3,1
16,16,997.0,163040000,500,2500,3,1
17,17,998.0,182600000,500,2700,4,1
18,18,999.0,163040000,489,2500,2,1
19,19,999.0,182600000,489,2500,2,1
20,20,999.0,182600000,489,2500,2,1
21,21,999.0,182600000,489,2500,2,1
22,22,999.0,182600000,489,2500,2,1
23,23,999.0,178950000,489,2500,2,1
24,24,999.0,178950000,489,2500,2,1
25,25,999.0,178950000,489,2500,2,1
26,26,999.0,182600000,489,2500,2,1
27,27,2.0,163040000,474,2600,2,1
28,28,2.0,163040000,474,2500,2,1
29,29,2.0,163040000,474,2500,2,1
30,30,2.0,163040000,474,2600,2,1
31,31,2.0,163040000,474,2500,2,1
32,32,2.0,163040000,474,2600,2,1
33,33,2.0,163040000,474,2500,2,1
34,34,2.0,163040000,474,2600,2,1
35,35,2.0,163040000,474,2500,2,1
36,36,2.0,163040000,474,2600,2,1
37,37,2.0,163040000,474,2600,2,1
38,38,2.0,163040000,474,2600,2,1
39,39,2.0,163040000,476,2500,2,1
40,40,2.0,163040000,474,2600,2,1
41,41,2.0,163040000,474,2500,2,1
42,42,4.0,194340000,404,2000,5,2
43,43,4.0,194340000,404,2000,5,2
44,44,7.0,179000000,400,2200,6,2
45,45,7.0,179000000,410,2200,6,2
46,46,7.0,179000000,410,2200,6,2
47,47,7.0,179000000,410,2200,6,2
48,48,3.0,190450000,404,2000,5,2
49,49,3.0,190450000,404,2000,5,2
50,50,3.0,194340000,404,2100,5,2
51,51,3.0,194340000,404,2000,5,2
52,52,3.0,194340000,404,2000,5,2
53,53,3.0,194340000,404,2000,5,2
54,54,3.0,194340000,404,2000,5,2
55,55,3.0,190450000,404,2000,5,2
56,56,993.0,241300000,500,2200,7,3
57,57,994.0,228250000,460,2200,8,3
58,58,994.0,228250000,460,2200,8,3
59,59,994.0,228250000,460,2200,8,3
60,60,998.0,273910000,504,2400,9,4
61,61,998.0,241300000,504,2400,9,3
62,62,5.0,150000000,550,3800,10,5
63,63,5.0,150000000,570,3900,10,5
64,64,5.0,150000000,570,3900,10,5
65,65,5.0,150000000,570,3900,10,5
66,66,5.0,150000000,570,3900,10,5
67,67,5.0,150000000,570,3900,10,5
68,68,5.0,150000000,570,3800,10,5
69,69,5.0,150000000,570,3800,10,5
70,70,5.0,150000000,570,3900,10,5
71,71,5.0,150000000,570,3900,10,5
72,72,5.0,150000000,570,3900,10,5
73,73,5.0,150000000,550,3800,10,5
74,74,5.0,150000000,570,3900,10,5
75,75,992.0,127170000,680,2800,11,6
76,76,992.0,127170000,680,2800,11,6
77,77,992.0,127170000,680,2800,11,6
78,78,992.0,127170000,680,2800,11,6
79,79,992.0,127170000,680,2800,11,6
80,80,992.0,127170000,680,2800,11,6
81,81,992.0,127170000,680,2800,11,6
82,82,992.0,127170000,680,2800,11,6
83,83,992.0,130430000,700,2800,11,6
84,84,992.0,127170000,680,2800,11,6
85,85,6.0,143470000,667,2600,12,6
86,86,6.0,120000000,650,2700,12,6
87,87,6.0,143470000,667,2600,12,6
88,88,6.0,120000000,667,2600,12,6
89,89,6.0,143470000,667,2600,12,6
90,90,6.0,143470000,667,2600,12,6
91,91,6.0,143470000,667,2600,12,6
92,92,6.0,138690000,640,2700,12,6
93,93,6.0,143470000,667,2600,12,6
94,94,6.0,120000000,650,2700,12,6
95,95,6.0,140600000,667,2600,12,6
96,96,6.0,140600000,667,2600,12,6
97,97,6.0,143470000,667,2600,12,6
98,98,6.0,143470000,667,2600,12,6
99,99,6.0,140600000,667,2600,12,6
100,100,7.0,179000000,845,2300,13,7
101,101,7.0,179000000,800,2200,14,7
102,102,7.0,179000000,800,2200,14,7
103,103,7.0,179000000,800,2200,14,7
104,104,7.0,179000000,800,2200,14,7
105,105,7.0,165000000,800,2200,14,7
106,106,7.0,149000000,800,2200,14,7
107,107,7.0,165000000,800,2200,14,7
108,108,7.0,179000000,800,2200,14,7
109,109,7.0,179000000,800,2200,14,7
110,110,7.0,149000000,800,2200,14,7
111,111,7.0,179000000,800,2200,14,7
112,112,7.0,179000000,800,2200,14,7
113,113,7.0,179000000,800,2200,14,7
114,114,8.0,75000000,547,2000,15,8
115,115,989.0,75000000,500,2100,16,8
116,116,989.0,75000000,515,2000,16,8
117,117,990.0,69060000,503,2200,17,8
118,118,991.0,69000000,542,2200,18,8
119,119,991.0,69000000,542,2200,18,8
120,120,8.0,75000000,547,2000,15,8
121,121,8.0,73500000,547,2000,15,8
122,122,8.0,75000000,547,2000,15,8
123,123,8.0,75000000,547,2000,15,8
124,124,8.0,75000000,547,2000,15,8
125,125,8.0,75000000,547,2000,15,8
126,126,8.0,75000000,547,2000,15,8
127,127,8.0,75000000,547,2000,15,8
128,128,8.0,73500000,547,2000,15,8
129,129,8.0,73500000,547,2000,15,8
130,130,8.0,75000000,547,2000,15,8
131,131,8.0,82000000,547,2000,15,8
132,132,8.0,75000000,547,2000,15,8
133,133,8.0,75000000,547,2000,15,8
134,134,10.0,234780000,506,2800,19,9
135,135,10.0,234780000,506,2800,19,9
136,136,10.0,234780000,506,2800,19,9
137,137,10.0,234780000,506,2800,19,9
138,138,10.0,234780000,506,2700,19,9
139,139,9.0,293470000,515,2600,20,10
140,140,9.0,293470000,515,2600,20,10
141,141,9.0,293470000,515,2600,20,10
142,142,10.0,228250000,506,2900,21,9
143,143,10.0,234780000,506,2900,21,9
144,144,10.0,234780000,506,2900,21,9
145,145,10.0,215210000,505,2900,21,9
146,146,10.0,234780000,506,2900,21,9
147,147,10.0,234780000,506,2900,21,9
148,148,10.0,208690000,505,2900,21,9
149,149,10.0,234780000,500,2900,21,9
150,150,10.0,234780000,506,2900,21,9
151,151,10.0,234780000,506,2900,21,9
152,152,10.0,234780000,506,2900,21,9
153,153,10.0,234780000,506,2900,21,9
154,154,10.0,234780000,506,2900,21,9
155,155,987.0,130430000,600,2200,22,11
156,156,988.0,143470000,600,2300,22,11
157,157,988.0,143470000,600,2200,22,11
